player,club,competition,season_used,position,matches,minutes,shots,goals,xg,np_goals,np_xg,assists,xa,xg_chain,xg_buildup,xg_per_match,goals_per_match,np_xg_per90,shot_accuracy
Almugera Kabar,Borussia Dortmund,GER-Bundesliga,2526,S,1,14,1,0,0.049,0,0.049,0,0.0,0.049,0.0,0.0489,0.0,0.3145,0.0
Ibrahim Salah,Rennes,FRA-Ligue 1,2526,S,2,22,1,0,0.049,0,0.049,0,0.0,0.385,0.385,0.0244,0.0,0.1993,0.0
Kyllian Antonio,Lens,FRA-Ligue 1,2526,D S,4,183,1,0,0.049,0,0.049,1,0.225,0.442,0.216,0.0122,0.0,0.024,0.0
Luc Zogbe,Brest,FRA-Ligue 1,2526,D S,9,281,3,0,0.048,0,0.048,0,0.083,1.554,1.554,0.0053,0.0,0.0153,0.0
Rabby Nzingoula,Strasbourg,FRA-Ligue 1,2526,S,4,44,1,0,0.048,0,0.048,0,0.074,0.122,0.0,0.0121,0.0,0.0987,0.0
Luis Orejuela,Mallorca,ESP-La Liga,2526,D,1,90,1,0,0.048,0,0.048,0,0.0,0.065,0.065,0.0478,0.0,0.0478,0.0
Pablo Marí,Fiorentina,ITA-Serie A,2526,D S,11,810,2,0,0.048,0,0.048,0,0.113,1.769,1.668,0.0044,0.0,0.0054,0.0
Pasquale Mazzocchi,Napoli,ITA-Serie A,2526,D S,16,288,2,0,0.047,0,0.047,1,1.145,2.07,1.402,0.0029,0.0,0.0145,0.0
Filippo Romagna,Sassuolo,ITA-Serie A,2526,D S,5,319,2,0,0.047,0,0.047,0,0.0,0.325,0.325,0.0094,0.0,0.0132,0.0
Benjamin Pavard,Inter,ITA-Serie A,2526,D,1,90,1,0,0.046,0,0.046,0,0.027,0.68,0.68,0.0461,0.0,0.0461,0.0
Leonidas Stergiou,FC Heidenheim,GER-Bundesliga,2526,D S,6,194,1,0,0.046,0,0.046,0,0.0,0.493,0.447,0.0077,0.0,0.0215,0.0
Sota Kawasaki,Mainz 05,GER-Bundesliga,2526,D M S,10,295,1,0,0.046,0,0.046,0,0.0,0.229,0.183,0.0046,0.0,0.0139,0.0
Mikayil Faye,Cremonese,ITA-Serie A,2526,D M S,8,238,2,0,0.045,0,0.045,0,0.448,0.797,0.331,0.0057,0.0,0.0171,0.0
Calvin Verdonk,Lille,FRA-Ligue 1,2526,D S,18,785,3,0,0.045,0,0.045,0,0.696,3.652,3.151,0.0025,0.0,0.0051,0.0
Johnny Cardoso,Atletico Madrid,ESP-La Liga,2526,M S,15,905,2,0,0.044,0,0.044,0,0.336,2.752,2.471,0.0029,0.0,0.0044,0.0
Timothée Kolodziejczak,Paris FC,FRA-Ligue 1,2526,D S,11,660,1,0,0.043,0,0.043,0,0.037,1.136,1.1,0.0039,0.0,0.0058,0.0
Ulisses García,Marseille,FRA-Ligue 1,2526,D S,4,203,2,0,0.043,0,0.043,0,0.031,0.19,0.138,0.0107,0.0,0.019,0.0
Pablo Agudín,Real Oviedo,ESP-La Liga,2526,S,8,60,2,0,0.043,0,0.043,0,0.0,0.03,0.0,0.0053,0.0,0.0639,0.0
Manuel Fernández,Celta Vigo,ESP-La Liga,2526,D S,14,768,2,0,0.042,0,0.042,0,0.031,3.842,3.768,0.003,0.0,0.0049,0.0
Matías Vecino,Celta Vigo,ESP-La Liga,2526,M S,6,136,2,0,0.042,0,0.042,0,0.0,0.976,0.957,0.007,0.0,0.028,0.0
Samba Konate,RasenBallsport Leipzig,GER-Bundesliga,2526,S,1,1,1,0,0.041,0,0.041,0,0.0,0.0,0.0,0.0414,0.0,3.7226,0.0
Darryl Bakola,Marseille,FRA-Ligue 1,2526,S,8,46,2,0,0.04,0,0.04,0,0.026,1.397,1.331,0.005,0.0,0.0786,0.0
Luis Guilherme,West Ham,ENG-Premier League,2526,F S,5,118,1,0,0.039,0,0.039,0,0.052,0.091,0.0,0.0079,0.0,0.03,0.0
Albert Grønbæk,Genoa,ITA-Serie A,2526,M S,4,96,1,0,0.039,0,0.039,0,0.132,0.52,0.388,0.0097,0.0,0.0364,0.0
Borna Sosa,Crystal Palace,ENG-Premier League,2526,S,7,88,1,0,0.039,0,0.039,0,0.076,0.484,0.388,0.0056,0.0,0.0399,0.0
Joe Worrall,Burnley,ENG-Premier League,2526,D S,11,478,1,0,0.038,0,0.038,0,0.0,0.545,0.506,0.0035,0.0,0.0072,0.0
Luca Netz,Borussia M.Gladbach,GER-Bundesliga,2526,D S,15,937,2,0,0.038,0,0.038,2,2.432,3.802,3.305,0.0026,0.0,0.0037,0.0
Eder García,Athletic Club,ESP-La Liga,2526,S,2,30,1,0,0.037,0,0.037,0,0.0,0.067,0.031,0.0183,0.0,0.1097,0.0
Jack Fletcher,Manchester United,ENG-Premier League,2526,S,3,97,1,0,0.037,0,0.037,0,0.115,0.263,0.148,0.0125,0.0,0.0347,0.0
Anthony Jung,Freiburg,GER-Bundesliga,2526,D S,12,502,1,0,0.037,0,0.037,0,0.225,1.3,1.159,0.0031,0.0,0.0066,0.0
Kamil Grabara,Wolfsburg,GER-Bundesliga,2526,GK,34,3060,1,0,0.036,0,0.036,0,0.04,4.599,4.559,0.0011,0.0,0.0011,0.0
Hernani,Parma Calcio 1913,ITA-Serie A,2526,S,4,58,1,0,0.036,0,0.036,0,0.027,0.078,0.051,0.0089,0.0,0.0554,0.0
Sean Neave,Newcastle United,ENG-Premier League,2526,S,1,7,1,0,0.035,0,0.035,0,0.0,0.035,0.0,0.0347,0.0,0.4466,0.0
Niklas Süle,Borussia Dortmund,GER-Bundesliga,2526,D S,11,487,2,0,0.034,0,0.034,1,0.296,2.326,2.232,0.0031,0.0,0.0062,0.0
Justin Bourgault,Brest,FRA-Ligue 1,2526,S,1,12,1,0,0.034,0,0.034,0,0.0,0.034,0.0,0.0338,0.0,0.2531,0.0
Jano Monserrate,Atletico Madrid,ESP-La Liga,2526,S,2,14,1,0,0.033,0,0.033,0,0.0,0.033,0.0,0.0166,0.0,0.2131,0.0
Julio Díaz,Atletico Madrid,ESP-La Liga,2526,D,4,322,1,0,0.033,0,0.033,1,0.573,1.139,1.036,0.0082,0.0,0.0092,0.0
Robert Skov,Union Berlin,GER-Bundesliga,2526,D,3,236,1,0,0.032,0,0.032,0,0.08,0.323,0.291,0.0108,0.0,0.0124,0.0
Sael Kumbedi,Lyon,FRA-Ligue 1,2526,D,1,69,1,0,0.032,0,0.032,0,0.0,0.576,0.576,0.0317,0.0,0.0413,0.0
Luca Marianucci,Napoli,ITA-Serie A,2526,D S,12,688,2,0,0.03,0,0.03,1,0.975,4.401,3.426,0.0025,0.0,0.0039,0.0
David Santos,Bayern Munich,GER-Bundesliga,2526,S,2,25,1,0,0.03,0,0.03,0,0.0,1.16,1.16,0.0152,0.0,0.1093,0.0
Fynn Schenten,FC Cologne,GER-Bundesliga,2526,F S,7,86,1,0,0.03,0,0.03,0,0.362,0.392,0.362,0.0043,0.0,0.0316,0.0
Immanuel Pherai,Hamburger SV,GER-Bundesliga,2526,S,6,19,1,0,0.029,0,0.029,0,0.0,0.153,0.153,0.0048,0.0,0.1372,0.0
Aurélio Buta,Eintracht Frankfurt,GER-Bundesliga,2526,D S,4,131,1,0,0.029,0,0.029,0,0.077,0.223,0.146,0.0073,0.0,0.0202,0.0
Adrien Rabiot,Marseille,FRA-Ligue 1,2526,M,1,90,1,0,0.029,0,0.029,0,0.199,0.26,0.134,0.0285,0.0,0.0285,0.0
Grigoris Kastanos,Verona,ITA-Serie A,2526,S,6,31,1,0,0.028,0,0.028,0,0.04,0.028,0.0,0.0047,0.0,0.0813,0.0
Julián Malatini,Werder Bremen,GER-Bundesliga,2526,D S,11,508,2,0,0.028,0,0.028,0,0.155,1.295,1.236,0.0026,0.0,0.005,0.0
Xavi Espart,Barcelona,ESP-La Liga,2526,D S,4,157,1,0,0.028,0,0.028,0,0.0,0.242,0.213,0.0071,0.0,0.0163,0.0
Miguel Calatayud,Mallorca,ESP-La Liga,2526,S,2,34,1,0,0.028,0,0.028,0,0.0,0.028,0.0,0.014,0.0,0.0742,0.0
Everton Pereira,Nice,FRA-Ligue 1,2526,M S,2,71,1,0,0.027,0,0.027,0,0.0,0.046,0.046,0.0133,0.0,0.0337,0.0
Idrissa Sabaly,Strasbourg,FRA-Ligue 1,2526,M,1,58,1,0,0.027,0,0.027,0,0.0,0.044,0.017,0.0272,0.0,0.0422,0.0
Ángel Ortiz,Real Betis,ESP-La Liga,2526,D S,13,584,1,0,0.027,0,0.027,0,0.88,1.543,0.812,0.0021,0.0,0.0042,0.0
Juan Arizala,Udinese,ITA-Serie A,2526,D S,10,173,1,0,0.027,0,0.027,0,0.135,0.536,0.374,0.0027,0.0,0.0141,0.0
Ismael Bekhoucha,Getafe,ESP-La Liga,2526,D S,4,106,1,0,0.025,0,0.025,1,0.721,1.157,0.436,0.0064,0.0,0.0216,0.0
Maxim Leitsch,Mainz 05,GER-Bundesliga,2526,D S,3,158,1,0,0.025,0,0.025,0,0.0,0.36,0.36,0.0082,0.0,0.014,0.0
Tom Watson,Brighton,ENG-Premier League,2526,S,6,44,1,0,0.025,0,0.025,0,0.0,0.025,0.0,0.0041,0.0,0.0505,0.0
Yannik Wagner,FC Heidenheim,GER-Bundesliga,2526,S,4,31,1,0,0.024,0,0.024,0,0.279,0.265,0.08,0.0061,0.0,0.0705,0.0
Guido Rodríguez,West Ham,ENG-Premier League,2526,M S,6,159,1,0,0.024,0,0.024,0,0.0,0.322,0.298,0.004,0.0,0.0137,0.0
Luca Koleosho,Espanyol,ESP-La Liga,2526,S,3,48,1,0,0.024,0,0.024,0,0.019,0.246,0.203,0.0081,0.0,0.0455,0.0
Carlos Macià,Villarreal,ESP-La Liga,2526,S,5,65,1,0,0.023,0,0.023,0,0.0,0.045,0.022,0.0046,0.0,0.0321,0.0
Dani Rodríguez,Mallorca,ESP-La Liga,2526,S,2,56,1,0,0.023,0,0.023,0,0.0,0.097,0.073,0.0117,0.0,0.0377,0.0
Olivier Boscagli,Brighton,ENG-Premier League,2526,D S,12,801,1,0,0.021,0,0.021,1,0.148,3.546,3.509,0.0017,0.0,0.0023,0.0
Lander Astiazarán,Real Sociedad,ESP-La Liga,2526,S,1,1,1,0,0.021,0,0.021,0,0.0,0.0,0.0,0.0211,0.0,1.9009,0.0
Jean Onana,Genoa,ITA-Serie A,2526,S,3,36,1,0,0.02,0,0.02,0,0.014,0.033,0.0,0.0065,0.0,0.0489,0.0
Adrian Przyborek,Lazio,ITA-Serie A,2526,S,1,7,1,0,0.02,0,0.02,0,0.0,0.02,0.0,0.0196,0.0,0.2523,0.0
Beñat Prados,Athletic Club,ESP-La Liga,2526,M S,2,87,1,0,0.02,0,0.02,0,0.037,0.166,0.129,0.0101,0.0,0.0209,0.0
Alejandro Mestanza,Getafe,ESP-La Liga,2526,M S,3,68,1,0,0.019,0,0.019,0,0.0,0.062,0.044,0.0062,0.0,0.0247,0.0
Pharell Hensel,Wolfsburg,GER-Bundesliga,2526,M S,5,68,1,0,0.019,0,0.019,0,0.0,0.019,0.0,0.0037,0.0,0.0246,0.0
George Hemmings,Aston Villa,ENG-Premier League,2526,S,2,19,1,0,0.019,0,0.019,0,0.0,0.382,0.362,0.0097,0.0,0.0918,0.0
Benjamín Cremaschi,Parma Calcio 1913,ITA-Serie A,2526,M S,8,122,1,0,0.018,0,0.018,0,0.013,0.042,0.029,0.0023,0.0,0.0133,0.0
Rio Cardines,Crystal Palace,ENG-Premier League,2526,D,1,90,1,0,0.018,0,0.018,0,0.298,0.406,0.182,0.0184,0.0,0.0184,0.0
Max Rosenfelder,Freiburg,GER-Bundesliga,2526,D S,12,476,1,0,0.017,0,0.017,0,0.0,0.721,0.721,0.0014,0.0,0.0033,0.0
Ville Koski,Alaves,ESP-La Liga,2526,D S,5,281,1,0,0.017,0,0.017,0,0.068,0.025,0.025,0.0034,0.0,0.0054,0.0
Nicolo Rovella,Lazio,ITA-Serie A,2526,M S,11,510,1,0,0.017,0,0.017,1,1.467,1.609,1.389,0.0016,0.0,0.003,0.0
Alexander Freeman,Villarreal,ESP-La Liga,2526,D S,10,332,1,0,0.017,0,0.017,0,0.015,2.27,2.238,0.0017,0.0,0.0045,0.0
Renzo Saravia,Valencia,ESP-La Liga,2526,D S,5,358,1,0,0.017,0,0.017,0,0.019,0.774,0.758,0.0033,0.0,0.0042,0.0
Simone Lottici Tessadri,Cremonese,ITA-Serie A,2526,S,1,1,1,0,0.016,0,0.016,0,0.0,0.016,0.0,0.0162,0.0,1.4597,0.0
Justin-Noel Kalumba,Angers,FRA-Ligue 1,2526,F M S,4,224,1,0,0.016,0,0.016,0,0.267,0.32,0.108,0.0041,0.0,0.0066,0.0
Laurs Skjellerup,Sassuolo,ITA-Serie A,2526,S,1,8,1,0,0.016,0,0.016,0,0.0,0.016,0.0,0.0155,0.0,0.1748,0.0
Mihailo Ristic,Celta Vigo,ESP-La Liga,2526,D S,5,266,1,0,0.016,0,0.016,0,0.066,0.62,0.538,0.0032,0.0,0.0054,0.0
Abdoulaye Bamba,Angers,FRA-Ligue 1,2526,D S,6,255,1,0,0.015,0,0.015,0,0.0,0.384,0.369,0.0025,0.0,0.0052,0.0
Salis Abdul Samed,Nice,FRA-Ligue 1,2526,M S,18,935,1,0,0.015,0,0.015,0,0.013,1.73,1.717,0.0008,0.0,0.0015,0.0
Omar El Hilali,Espanyol,ESP-La Liga,2526,D S,36,2853,1,0,0.014,0,0.014,2,1.694,5.095,3.973,0.0004,0.0,0.0004,0.0
Bafode Diakite,Bournemouth,ENG-Premier League,2526,D S,18,1276,1,0,0.014,0,0.014,0,0.085,3.927,3.878,0.0008,0.0,0.001,0.0
Fabian Rieder,Rennes,FRA-Ligue 1,2526,M S,3,144,1,0,0.014,0,0.014,0,0.275,0.49,0.201,0.0048,0.0,0.0089,0.0
Joselu Pérez,Getafe,ESP-La Liga,2526,S,2,16,1,0,0.014,0,0.014,0,0.0,0.014,0.0,0.007,0.0,0.0792,0.0
William Bøving,Mainz 05,GER-Bundesliga,2526,M S,9,206,1,0,0.013,0,0.013,1,0.545,0.373,0.373,0.0015,0.0,0.0058,0.0
Abdelhamid Sabiri,Fiorentina,ITA-Serie A,2526,S,1,24,1,0,0.013,0,0.013,0,0.145,0.089,0.076,0.0129,0.0,0.0485,0.0
Amir Richardson,Fiorentina,ITA-Serie A,2526,S,2,35,1,0,0.013,0,0.013,0,0.0,0.013,0.0,0.0063,0.0,0.0321,0.0
Gideon Mensah,Auxerre,FRA-Ligue 1,2526,D S,30,2353,1,0,0.013,0,0.013,2,1.647,5.018,4.069,0.0004,0.0,0.0005,0.0
César Azpilicueta,Sevilla,ESP-La Liga,2526,D,17,1233,1,0,0.012,0,0.012,1,0.565,2.749,2.219,0.0007,0.0,0.0009,0.0
Souza,Tottenham,ENG-Premier League,2526,D M S,4,136,1,0,0.012,0,0.012,0,0.202,0.558,0.374,0.0029,0.0,0.0076,0.0
Arthur Masuaku,Lens,FRA-Ligue 1,2526,D S,4,235,1,0,0.011,0,0.011,0,0.052,2.171,2.16,0.0028,0.0,0.0043,0.0
Rui Modesto,Udinese,ITA-Serie A,2526,S,3,113,1,0,0.011,0,0.011,1,0.444,0.661,0.217,0.0038,0.0,0.009,0.0
Jesús Santiago,Verona,ITA-Serie A,2526,S,2,2,1,0,0.01,0,0.01,0,0.041,0.051,0.0,0.005,0.0,0.453,0.0
Wesley,Real Sociedad,ESP-La Liga,2526,M S,5,74,1,0,0.01,0,0.01,0,0.0,0.071,0.061,0.002,0.0,0.0123,0.0
Ki-Jana Hoever,Wolverhampton Wanderers,ENG-Premier League,2526,D S,8,437,1,0,0.009,0,0.009,0,0.339,1.378,1.03,0.0012,0.0,0.0019,0.0
Ethan Pinnock,Brentford,ENG-Premier League,2526,D,4,330,1,0,0.009,0,0.009,0,0.0,0.109,0.109,0.0023,0.0,0.0025,0.0
Guillaume Restes,Toulouse,FRA-Ligue 1,2526,GK,33,2943,0,0,0.0,0,0.0,0,0.061,2.649,2.649,0.0,0.0,0.0,
David Raya,Arsenal,ENG-Premier League,2526,GK,37,3330,0,0,0.0,0,0.0,0,0.149,6.412,6.322,0.0,0.0,0.0,
Daniel Batz,Mainz 05,GER-Bundesliga,2526,GK,21,1890,0,0,0.0,0,0.0,0,0.0,3.299,3.299,0.0,0.0,0.0,
Lasse Rieß,Mainz 05,GER-Bundesliga,2526,GK S,4,290,0,0,0.0,0,0.0,0,0.0,0.05,0.05,0.0,0.0,0.0,
Robin Zentner,Mainz 05,GER-Bundesliga,2526,GK,10,878,0,0,0.0,0,0.0,0,0.0,0.803,0.803,0.0,0.0,0.0,
Nick Woltemade,VfB Stuttgart,GER-Bundesliga,2526,M,1,90,0,0,0.0,0,0.0,0,0.348,0.592,0.245,0.0,0.0,0.0,
Oliver Baumann,Hoffenheim,GER-Bundesliga,2526,GK,34,3060,0,0,0.0,0,0.0,0,0.033,5.952,5.952,0.0,0.0,0.0,
Yannick Eduardo,Hoffenheim,GER-Bundesliga,2526,S,1,1,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,
Diego Coppola,Brighton,ENG-Premier League,2526,D S,5,192,0,0,0.0,0,0.0,0,0.0,0.486,0.486,0.0,0.0,0.0,
Levi Colwill,Chelsea,ENG-Premier League,2526,D S,3,210,0,0,0.0,0,0.0,0,0.0,1.294,1.294,0.0,0.0,0.0,
Martin Dubravka,Burnley,ENG-Premier League,2526,GK,35,3150,0,0,0.0,0,0.0,0,0.0,2.838,2.838,0.0,0.0,0.0,
Max Weiss,Burnley,ENG-Premier League,2526,GK,3,270,0,0,0.0,0,0.0,0,0.161,0.313,0.152,0.0,0.0,0.0,
Mike Trésor,Burnley,ENG-Premier League,2526,S,6,25,0,0,0.0,0,0.0,0,0.0,0.027,0.027,0.0,0.0,0.0,
Benoit Badiashile Mukinayi,Chelsea,ENG-Premier League,2526,D S,8,478,0,0,0.0,0,0.0,0,0.0,1.046,1.046,0.0,0.0,0.0,
Jaydon Banel,Burnley,ENG-Premier League,2526,S,1,7,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,
Joe Knight,Brighton,ENG-Premier League,2526,S,1,1,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,
Nehemiah Oriola,Brighton,ENG-Premier League,2526,S,1,1,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,
Aaron Anselmino,Strasbourg,FRA-Ligue 1,2526,S,3,12,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,
Andrea Ghion,Sassuolo,ITA-Serie A,2526,S,1,7,0,0,0.0,0,0.0,0,0.0,0.119,0.119,0.0,0.0,0.0,
Arijanet Muric,Sassuolo,ITA-Serie A,2526,GK,32,2880,0,0,0.0,0,0.0,0,0.033,3.847,3.847,0.0,0.0,0.0,
Tomás Esteves,Pisa,ITA-Serie A,2526,S,1,11,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,
Alessandro Romano,Roma,ITA-Serie A,2526,S,2,5,0,0,0.0,0,0.0,0,0.0,0.533,0.533,0.0,0.0,0.0,
Radoslaw Majecki,Brest,FRA-Ligue 1,2526,GK,10,868,0,0,0.0,0,0.0,0,0.0,0.722,0.722,0.0,0.0,0.0,
Nícolas,Pisa,ITA-Serie A,2526,GK,6,540,0,0,0.0,0,0.0,0,0.0,0.072,0.072,0.0,0.0,0.0,
Samuel Iling-Junior,Pisa,ITA-Serie A,2526,M S,5,104,0,0,0.0,0,0.0,0,0.029,0.029,0.0,0.0,0.0,0.0,
Simone Scuffet,Pisa,ITA-Serie A,2526,GK,7,630,0,0,0.0,0,0.0,0,0.0,0.583,0.583,0.0,0.0,0.0,
Franco Israel,Torino,ITA-Serie A,2526,GK,9,810,0,0,0.0,0,0.0,0,0.0,1.539,1.539,0.0,0.0,0.0,
Kjetil Haug,Toulouse,FRA-Ligue 1,2526,S,1,27,0,0,0.0,0,0.0,0,0.0,0.396,0.396,0.0,0.0,0.0,
Mathis Saka,Toulouse,FRA-Ligue 1,2526,S,1,2,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,
Rafik Messali,Toulouse,FRA-Ligue 1,2526,D M S,12,493,0,0,0.0,0,0.0,0,0.64,1.081,0.441,0.0,0.0,0.0,
Carl Klaus,Union Berlin,GER-Bundesliga,2526,GK S,4,330,0,0,0.0,0,0.0,0,0.0,0.543,0.543,0.0,0.0,0.0,
Frederik Rönnow,Union Berlin,GER-Bundesliga,2526,GK,30,2640,0,0,0.0,0,0.0,0,0.019,1.798,1.779,0.0,0.0,0.0,
Linus Güther,Union Berlin,GER-Bundesliga,2526,S,1,4,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,
Matheo Raab,Union Berlin,GER-Bundesliga,2526,GK,1,90,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,
Theo Bair,Auxerre,FRA-Ligue 1,2526,S,2,4,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,
Théo De Percin,Auxerre,FRA-Ligue 1,2526,GK S,8,589,0,0,0.0,0,0.0,0,0.0,0.219,0.219,0.0,0.0,0.0,
Tidiane Devernois,Auxerre,FRA-Ligue 1,2526,S,2,2,0,0,0.0,0,0.0,0,0.124,0.008,0.008,0.0,0.0,0.0,
Yvan Zaddy,Auxerre,FRA-Ligue 1,2526,S,1,1,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,
Axel Camblan,Brest,FRA-Ligue 1,2526,S,1,6,0,0,0.0,0,0.0,0,0.027,0.107,0.107,0.0,0.0,0.0,
Grégoire Coudert,Brest,FRA-Ligue 1,2526,GK S,25,2188,0,0,0.0,0,0.0,0,0.0,1.606,1.606,0.0,0.0,0.0,
Ibrahim Kanté,Brest,FRA-Ligue 1,2526,S,1,6,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,
Pedro Felipe,Sassuolo,ITA-Serie A,2526,D S,3,125,0,0,0.0,0,0.0,1,0.375,0.884,0.884,0.0,0.0,0.0,
Stefano Turati,Sassuolo,ITA-Serie A,2526,GK,6,535,0,0,0.0,0,0.0,0,0.043,1.331,1.289,0.0,0.0,0.0,
Adam Masina,Torino,ITA-Serie A,2526,D S,5,224,0,0,0.0,0,0.0,1,0.412,0.425,0.413,0.0,0.0,0.0,
Alberto Paleari,Torino,ITA-Serie A,2526,GK,29,2610,0,0,0.0,0,0.0,0,0.0,1.675,1.675,0.0,0.0,0.0,
Lorenzo Montipò,Verona,ITA-Serie A,2526,GK,35,3150,0,0,0.0,0,0.0,1,0.218,2.188,1.97,0.0,0.0,0.0,
Cas Odenthal,Sassuolo,ITA-Serie A,2526,S,1,1,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,
Christian Frangella,Sassuolo,ITA-Serie A,2526,S,1,1,0,0,0.0,0,0.0,0,0.0,0.534,0.534,0.0,0.0,0.0,
Gioele Zacchi,Sassuolo,ITA-Serie A,2526,S,1,5,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,
Mile Svilar,Roma,ITA-Serie A,2526,GK,38,3420,0,0,0.0,0,0.0,0,0.0,5.139,5.139,0.0,0.0,0.0,
Gaby Jean,Lecce,ITA-Serie A,2526,D S,7,180,0,0,0.0,0,0.0,0,0.0,0.014,0.014,0.0,0.0,0.0,
Brando Bettazzi,Pisa,ITA-Serie A,2526,S,1,12,0,0,0.0,0,0.0,0,0.0,0.063,0.063,0.0,0.0,0.0,
Daniel Denoon,Pisa,ITA-Serie A,2526,D,2,126,0,0,0.0,0,0.0,0,0.0,0.013,0.013,0.0,0.0,0.0,
Louis Buffon,Pisa,ITA-Serie A,2526,S,4,24,0,0,0.0,0,0.0,0,0.0,0.028,0.028,0.0,0.0,0.0,
Tjas Begic,Parma Calcio 1913,ITA-Serie A,2526,S,1,1,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,
Zion Suzuki,Parma Calcio 1913,ITA-Serie A,2526,GK,20,1800,0,0,0.0,0,0.0,0,0.026,0.684,0.659,0.0,0.0,0.0,
Adrian Semper,Pisa,ITA-Serie A,2526,GK,25,2250,0,0,0.0,0,0.0,0,0.0,0.78,0.78,0.0,0.0,0.0,
Damián Pizarro,Le Havre,FRA-Ligue 1,2526,S,2,15,0,0,0.0,0,0.0,0,0.0,0.012,0.012,0.0,0.0,0.0,
Daren Mosengo,Le Havre,FRA-Ligue 1,2526,S,7,90,0,0,0.0,0,0.0,0,0.0,0.169,0.169,0.0,0.0,0.0,
Georges Gomis,Le Havre,FRA-Ligue 1,2526,S,1,1,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,
Lionel Mpasi,Le Havre,FRA-Ligue 1,2526,GK S,4,308,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,
Alessandro Cardinali,Parma Calcio 1913,ITA-Serie A,2526,S,1,42,0,0,0.0,0,0.0,0,0.0,0.471,0.471,0.0,0.0,0.0,
Edoardo Corvi,Parma Calcio 1913,ITA-Serie A,2526,GK,17,1530,0,0,0.0,0,0.0,0,0.0,1.645,1.645,0.0,0.0,0.0,
Filippo Rinaldi,Parma Calcio 1913,ITA-Serie A,2526,GK,1,90,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,
Franco Ezequiel Carboni,Parma Calcio 1913,ITA-Serie A,2526,D S,7,106,0,0,0.0,0,0.0,0,0.0,0.637,0.637,0.0,0.0,0.0,
Ivan Ilic,Torino,ITA-Serie A,2526,M S,8,414,0,0,0.0,0,0.0,0,0.718,1.289,0.601,0.0,0.0,0.0,
Fodé Sylla,Lens,FRA-Ligue 1,2526,M S,4,94,0,0,0.0,0,0.0,0,0.034,0.424,0.391,0.0,0.0,0.0,
Mathieu Gorgelin,Lens,FRA-Ligue 1,2526,GK,1,90,0,0,0.0,0,0.0,0,0.0,0.048,0.048,0.0,0.0,0.0,
Josep Martínez,Inter,ITA-Serie A,2526,GK,5,450,0,0,0.0,0,0.0,0,0.0,1.135,1.135,0.0,0.0,0.0,
Luka Topalovic,Inter,ITA-Serie A,2526,S,1,7,0,0,0.0,0,0.0,1,0.157,0.157,0.0,0.0,0.0,0.0,
Nikita Contini,Napoli,ITA-Serie A,2526,S,1,8,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,
Vanja Milinkovic-Savic,Napoli,ITA-Serie A,2526,GK,27,2430,0,0,0.0,0,0.0,1,0.302,4.887,4.585,0.0,0.0,0.0,
Wladimiro Falcone,Lecce,ITA-Serie A,2526,GK,38,3420,0,0,0.0,0,0.0,0,0.037,0.886,0.85,0.0,0.0,0.0,
Alex Meret,Napoli,ITA-Serie A,2526,GK,11,982,0,0,0.0,0,0.0,1,0.271,1.583,1.583,0.0,0.0,0.0,
Giuseppe Ambrosino,Napoli,ITA-Serie A,2526,S,3,31,0,0,0.0,0,0.0,0,0.0,0.052,0.052,0.0,0.0,0.0,
Matías Pérez,Lecce,ITA-Serie A,2526,D,1,31,0,0,0.0,0,0.0,0,0.014,0.026,0.012,0.0,0.0,0.0,
Olaf Gorter,Lecce,ITA-Serie A,2526,S,2,27,0,0,0.0,0,0.0,0,0.0,0.334,0.334,0.0,0.0,0.0,
Owen Kouassi,Lecce,ITA-Serie A,2526,D S,4,231,0,0,0.0,0,0.0,0,0.0,0.333,0.333,0.0,0.0,0.0,
Mory Diaw,Le Havre,FRA-Ligue 1,2526,GK,30,2662,0,0,0.0,0,0.0,1,0.268,4.213,3.978,0.0,0.0,0.0,
