player,club,competition,season_used,position,matches,minutes,shots,goals,xg,np_goals,np_xg,assists,xa,xg_chain,xg_buildup,xg_per_match,goals_per_match,np_xg_per90,shot_accuracy
Nico O'Reilly,Manchester City,ENG-Premier League,2526,D M S,34,2646,41,5,6.727,5,6.727,3,3.847,21.241,14.798,0.1979,0.1471,0.2288,0.122
Anton Kade,Augsburg,GER-Bundesliga,2526,D F M S,28,1740,48,6,6.712,6,6.712,0,3.094,10.917,1.843,0.2397,0.2143,0.3472,0.125
Phil Foden,Manchester City,ENG-Premier League,2526,F M S,33,2083,55,7,6.689,7,6.689,5,6.107,19.914,11.249,0.2027,0.2121,0.289,0.127
Kristian Thorstvedt,Sassuolo,ITA-Serie A,2526,F M S,32,2450,43,4,6.645,4,6.645,4,2.629,16.128,8.904,0.2077,0.125,0.2441,0.093
Aiyegun Tosin,Lorient,FRA-Ligue 1,2526,F M S,27,1068,30,5,6.637,5,5.877,0,1.036,6.243,0.43,0.2458,0.1852,0.4952,0.167
Maghnes Akliouche,Monaco,FRA-Ligue 1,2526,F M S,31,2430,48,6,6.615,6,6.615,6,5.355,18.967,8.313,0.2134,0.1935,0.245,0.125
Che Adams,Torino,ITA-Serie A,2526,F M S,33,1899,53,6,6.61,6,6.61,2,3.209,12.338,3.927,0.2003,0.1818,0.3133,0.113
Ousmane Dembélé,Paris Saint Germain,FRA-Ligue 1,2526,F S,22,1050,45,10,6.605,8,4.325,7,5.207,10.211,4.47,0.3002,0.4545,0.3707,0.222
Ferrán Jutglà,Celta Vigo,ESP-La Liga,2526,F M S,30,1702,45,9,6.598,9,6.598,3,1.554,8.992,2.861,0.2199,0.3,0.3489,0.2
Bruno Guimarães,Newcastle United,ENG-Premier League,2526,M S,29,2467,42,9,6.597,7,5.075,5,3.869,14.098,9.366,0.2275,0.3103,0.1851,0.214
Casemiro,Manchester United,ENG-Premier League,2526,M S,34,2649,52,9,6.577,9,6.577,2,3.178,16.169,11.876,0.1935,0.2647,0.2235,0.173
David Brooks,Bournemouth,ENG-Premier League,2526,M S,31,1191,48,1,6.54,1,6.54,3,4.197,12.195,2.666,0.211,0.0323,0.4942,0.021
Jørgen Strand Larsen,Crystal Palace,ENG-Premier League,2526,F S,36,2353,44,4,6.514,3,4.992,1,0.687,7.07,2.569,0.181,0.1111,0.1909,0.091
Endrick,Lyon,FRA-Ligue 1,2526,F M S,16,1248,49,5,6.475,4,5.715,7,4.548,11.144,2.176,0.4047,0.3125,0.4122,0.102
Largie Ramazani,Valencia,ESP-La Liga,2526,F M S,27,1200,51,6,6.468,3,4.238,1,2.456,9.884,3.963,0.2396,0.2222,0.3179,0.118
Adrien Thomasson,Lens,FRA-Ligue 1,2526,M S,32,2714,43,3,6.46,3,6.46,9,8.478,23.376,13.438,0.2019,0.0938,0.2142,0.07
