player,team,competitions,matches,shots,xg,goals,xg_per_match,goals_per_match,shot_accuracy
Jamiro Gregory Monteiro Alvarenga,Cape Verde Islands,AFCON 2023,2,3,0.5952,1,0.2976,0.5,0.333
Issam Jebali,Tunisia,FIFA World Cup 2022,1,3,0.5931,0,0.5931,0.0,0.0
Kenan Yildiz,Türkiye,UEFA Euro 2024,4,11,0.5905,0,0.1476,0.0,0.0
Souleymane Anne,Mauritania,AFCON 2023,2,4,0.5828,0,0.2914,0.0,0.0
Kwadwo Duah,Switzerland,UEFA Euro 2024,2,4,0.5825,1,0.2912,0.5,0.25
Ritsu Doan,Japan,FIFA World Cup 2022,4,4,0.5772,2,0.1443,0.5,0.5
Florian Wirtz,Germany,UEFA Euro 2024,4,8,0.5754,2,0.1439,0.5,0.25
Jonathan Buatu Mananga,Angola,AFCON 2023,3,3,0.568,0,0.1893,0.0,0.0
Willi Orban,Hungary,UEFA Euro 2024,3,3,0.5679,0,0.1893,0.0,0.0
Hee-Chan Hwang,Korea Republic,FIFA World Cup 2022,2,6,0.5679,1,0.284,0.5,0.167
Themba Zwane,South Africa,AFCON 2023,2,3,0.5633,2,0.2817,1.0,0.667
Václav Černý,Czechia,UEFA Euro 2024,1,2,0.5616,0,0.5616,0.0,0.0
Zaidu Sanusi,Nigeria,AFCON 2023,4,6,0.5603,0,0.1401,0.0,0.0
Frank Magri,Cameroon,AFCON 2023,3,6,0.5564,1,0.1855,0.3333,0.167
Eric Kleybel Ramírez Matheus,Venezuela,Copa America 2024,2,3,0.5538,1,0.2769,0.5,0.333
Khvicha Kvaratskhelia,Georgia,UEFA Euro 2024,4,6,0.5521,1,0.138,0.25,0.167
Simon Bokote Banza,Congo DR,AFCON 2023,3,5,0.552,0,0.184,0.0,0.0
Denzel Dumfries,Netherlands,FIFA World Cup 2022; UEFA Euro 2024,4,6,0.5519,1,0.138,0.25,0.167
Tomáš Chorý,Czechia,UEFA Euro 2024,1,1,0.5512,0,0.5512,0.0,0.0
Peter Pekarík,Slovakia,UEFA Euro 2024,3,3,0.5502,0,0.1834,0.0,0.0
Dennis Man,Romania,UEFA Euro 2024,3,6,0.5469,0,0.1823,0.0,0.0
Xavi Simons,Netherlands,UEFA Euro 2024,6,11,0.5453,1,0.0909,0.1667,0.091
Artem Dovbyk,Ukraine,UEFA Euro 2024,3,6,0.545,0,0.1817,0.0,0.0
Abderrazak Hamdallah,Morocco,FIFA World Cup 2022,2,2,0.543,0,0.2715,0.0,0.0
Kamory Doumbia,Mali,AFCON 2023,3,9,0.5369,0,0.179,0.0,0.0
Renaldo Showayne Cephas,Jamaica,Copa America 2024,2,3,0.5367,0,0.2684,0.0,0.0
Daizen Maeda,Japan,FIFA World Cup 2022,2,2,0.5359,1,0.2679,0.5,0.5
Gianluca Scamacca,Italy,UEFA Euro 2024,3,6,0.5331,0,0.1777,0.0,0.0
Eduard Alexander Bello Gil,Venezuela,Copa America 2024,4,4,0.5329,2,0.1332,0.5,0.5
