player,team,competitions,matches,shots,xg,goals,xg_per_match,goals_per_match,shot_accuracy
Jack Hendry,Scotland,UEFA Euro 2024,1,1,0.0662,0,0.0662,0.0,0.0
András Schäfer,Hungary,UEFA Euro 2024,1,2,0.066,0,0.066,0.0,0.0
Giacomo Raspadori,Italy,UEFA Euro 2024,1,1,0.066,0,0.066,0.0,0.0
Ali Ahmed,Canada,Copa America 2024,1,1,0.0659,0,0.0659,0.0,0.0
Adalberto Eliécer Carrasquilla Alcázar,Panama,Copa America 2024,1,2,0.0652,0,0.0652,0.0,0.0
Ibrahim Blati Touré,Burkina Faso,AFCON 2023,1,1,0.0647,0,0.0647,0.0,0.0
Morice Michael Abraham,Tanzania,AFCON 2023,1,1,0.0644,0,0.0644,0.0,0.0
Warren Steven Madrigal Molina,Costa Rica,Copa America 2024,1,1,0.0644,0,0.0644,0.0,0.0
Jesús Daniel Gallardo Vasconcelos,Mexico,FIFA World Cup 2022,1,1,0.0643,0,0.0643,0.0,0.0
Famana Quizera,Guinea-Bissau,AFCON 2023,1,4,0.0641,0,0.0641,0.0,0.0
Jawad El Yamiq,Morocco,FIFA World Cup 2022,1,1,0.0641,0,0.0641,0.0,0.0
Karim Ansarifard,IR Iran,FIFA World Cup 2022,1,1,0.064,0,0.064,0.0,0.0
Joe Allen,Wales,FIFA World Cup 2022,1,2,0.0637,0,0.0637,0.0,0.0
Adama Guira,Burkina Faso,AFCON 2023,1,1,0.0633,0,0.0633,0.0,0.0
Denis Kibu,Tanzania,AFCON 2023,1,1,0.0628,0,0.0628,0.0,0.0
Ruslan Malinovskiy,Ukraine,UEFA Euro 2024,1,2,0.0627,0,0.0627,0.0,0.0
Dušan Tadić,Serbia,FIFA World Cup 2022,1,1,0.0617,0,0.0617,0.0,0.0
Johan Andrés Mojica Palacio,Colombia,Copa America 2024,1,1,0.0616,0,0.0616,0.0,0.0
Harry Wilson,Wales,FIFA World Cup 2022,2,2,0.0615,0,0.0307,0.0,0.0
Saeid Ezatolahi Afagh,IR Iran,FIFA World Cup 2022,3,3,0.0613,0,0.0204,0.0,0.0
Luc Rollet De Fougerolles,Canada,Copa America 2024,1,1,0.0612,0,0.0612,0.0,0.0
Mauro Daniel Rodrigues Teixeira,Guinea-Bissau,AFCON 2023,1,2,0.061,0,0.061,0.0,0.0
Axel Disasi,France,FIFA World Cup 2022,1,1,0.061,0,0.061,0.0,0.0
Pavel Šulc,Czechia,UEFA Euro 2024,1,1,0.0605,0,0.0605,0.0,0.0
Jasir Asani,Albania,UEFA Euro 2024,3,4,0.0601,0,0.02,0.0,0.0
Valdomiro Tualungo Paulo Lameiras,Angola,AFCON 2023,1,1,0.06,0,0.06,0.0,0.0
Zinho Gano,Guinea-Bissau,AFCON 2023,1,1,0.06,0,0.06,0.0,0.0
Sang-Ho Na,Korea Republic,FIFA World Cup 2022,1,1,0.06,0,0.06,0.0,0.0
Gustavo Fabrice Sangaré,Burkina Faso,AFCON 2023,1,1,0.0596,0,0.0596,0.0,0.0
José Nabil Onva Adjugu,Equatorial Guinea,AFCON 2023,1,1,0.0596,0,0.0596,0.0,0.0
Fousseni Diabaté,Mali,AFCON 2023,2,2,0.0592,0,0.0296,0.0,0.0
Dylan Daniel Mahmoud Bronn,Tunisia,FIFA World Cup 2022,1,1,0.0591,0,0.0591,0.0,0.0
Édison Michael Flores Peralta,Peru,Copa America 2024,2,2,0.0589,0,0.0294,0.0,0.0
Florinel Teodor Coman,Romania,UEFA Euro 2024,1,2,0.0581,0,0.0581,0.0,0.0
Jorge Andrés Carrascal Guardo,Colombia,Copa America 2024,1,1,0.0579,0,0.0579,0.0,0.0
Franco Zanelatto Téllez,Peru,Copa America 2024,1,1,0.0579,0,0.0579,0.0,0.0
Budu Zivzivadze,Georgia,UEFA Euro 2024,1,1,0.0572,0,0.0572,0.0,0.0
Márton Dárdai,Hungary,UEFA Euro 2024,1,1,0.0571,0,0.0571,0.0,0.0
Víctor Gustavo Velázquez Ramos,Paraguay,Copa America 2024,1,1,0.0569,0,0.0569,0.0,0.0
Mbwana Ally Samatta,Tanzania,AFCON 2023,2,2,0.0568,0,0.0284,0.0,0.0
Walker Zimmerman,United States,FIFA World Cup 2022,1,1,0.0567,0,0.0567,0.0,0.0
José Luis Rodríguez Francis,Panama,Copa America 2024,1,2,0.0567,0,0.0567,0.0,0.0
Pablo Martín Páez Gavira,Spain,FIFA World Cup 2022,1,1,0.0562,1,0.0562,1.0,1.0
Malik Tillman,United States,Copa America 2024,1,1,0.056,0,0.056,0.0,0.0
Lewis Morgan,Scotland,UEFA Euro 2024,1,1,0.0558,0,0.0558,0.0,0.0
Erik Janža,Slovenia,UEFA Euro 2024,1,3,0.0557,1,0.0557,1.0,0.333
Orlando Moisés Galo Calderón,Costa Rica,Copa America 2024,1,2,0.0556,0,0.0556,0.0,0.0
Fran Karačić,Australia,FIFA World Cup 2022,1,3,0.0555,0,0.0555,0.0,0.0
Di'Shon Bernard,Jamaica,Copa America 2024,1,1,0.0555,0,0.0555,0.0,0.0
Ferdi Erenay Kadıoğlu,Türkiye,UEFA Euro 2024,2,2,0.0552,0,0.0276,0.0,0.0
Matteo Darmian,Italy,UEFA Euro 2024,1,1,0.0552,0,0.0552,0.0,0.0
Joe Aribo,Nigeria,AFCON 2023,1,1,0.0549,0,0.0549,0.0,0.0
Diego Roberto Godín Leal,Uruguay,FIFA World Cup 2022,1,1,0.0547,0,0.0547,0.0,0.0
Denis Vavro,Slovakia,UEFA Euro 2024,3,3,0.0546,0,0.0182,0.0,0.0
Sebastian Szymański,Poland,UEFA Euro 2024,1,1,0.0542,0,0.0542,0.0,0.0
Alfa Semedo Esteves,Guinea-Bissau,AFCON 2023,2,3,0.0538,0,0.0269,0.0,0.0
José Ndong Machín Dicombo,Equatorial Guinea,AFCON 2023,2,2,0.053,0,0.0265,0.0,0.0
Guilherme Antonio Arana Lopes,Brazil,Copa America 2024,1,1,0.053,0,0.053,0.0,0.0
Jackson Gabriel Porozo Vernaza,Ecuador,FIFA World Cup 2022,1,1,0.0525,0,0.0525,0.0,0.0
Ghislain Konan,Côte d'Ivoire,AFCON 2023,1,1,0.0523,0,0.0523,0.0,0.0
Matías Vecino Falero,Uruguay,FIFA World Cup 2022,1,1,0.0522,0,0.0522,0.0,0.0
Nicolas Moumi Ngamaleu,Cameroon,AFCON 2023,2,2,0.0521,0,0.026,0.0,0.0
Dexter Lembikisa,Jamaica,Copa America 2024,1,3,0.0521,0,0.0521,0.0,0.0
Nemanja Radonjić,Serbia,FIFA World Cup 2022,2,2,0.0515,0,0.0258,0.0,0.0
Joel Nathaniel Campbell Samuels,Costa Rica,FIFA World Cup 2022,1,1,0.0513,0,0.0513,0.0,0.0
Luka Lochoshvili,Georgia,UEFA Euro 2024,1,1,0.051,0,0.051,0.0,0.0
Ivan Ilić,Serbia,UEFA Euro 2024,2,2,0.0508,0,0.0254,0.0,0.0
Odilon Kossonou,Côte d'Ivoire,AFCON 2023,1,2,0.0505,0,0.0505,0.0,0.0
Opa Sangante,Guinea-Bissau,AFCON 2023,1,1,0.0503,0,0.0503,0.0,0.0
Victor Bernth Kristansen,Denmark,UEFA Euro 2024,1,1,0.0502,0,0.0502,0.0,0.0
Emre Can,Germany,UEFA Euro 2024,1,1,0.05,1,0.05,1.0,1.0
Jérémy Bela,Angola,AFCON 2023,1,1,0.0494,0,0.0494,0.0,0.0
Ianis Hagi,Romania,UEFA Euro 2024,2,2,0.0493,0,0.0246,0.0,0.0
Mohamed Naser Elsayed Elneny,Egypt,AFCON 2023,1,1,0.0492,0,0.0492,0.0,0.0
Lazar Samardžić,Serbia,UEFA Euro 2024,1,1,0.0492,0,0.0492,0.0,0.0
Gonçalo Bernardo Inácio,Portugal,UEFA Euro 2024,1,1,0.0491,0,0.0491,0.0,0.0
Djibril Cheick Ouattara,Burkina Faso,AFCON 2023,1,1,0.0489,0,0.0489,0.0,0.0
William Silva de Carvalho,Portugal,FIFA World Cup 2022,1,1,0.0487,0,0.0487,0.0,0.0
Ricardo Martins Guimarães,Mozambique,AFCON 2023,1,1,0.0485,0,0.0485,0.0,0.0
Borna Sosa,Croatia,FIFA World Cup 2022,1,2,0.0484,0,0.0484,0.0,0.0
Mathias Jensen,Denmark,FIFA World Cup 2022,2,2,0.0483,0,0.0242,0.0,0.0
Abdoul Fessal Tapsoba,Burkina Faso,AFCON 2023,1,1,0.0477,0,0.0477,0.0,0.0
Exequiel Alejandro Palacios,Argentina,FIFA World Cup 2022,1,1,0.0467,0,0.0467,0.0,0.0
Kaheim Dixon,Jamaica,Copa America 2024,2,2,0.0466,0,0.0233,0.0,0.0
Daniel Vivian Moreno,Spain,UEFA Euro 2024,1,1,0.0466,0,0.0466,0.0,0.0
Steven Moreira,Cape Verde Islands,AFCON 2023,1,1,0.0462,0,0.0462,0.0,0.0
İsmail Yüksek,Türkiye,UEFA Euro 2024,1,1,0.0459,0,0.0459,0.0,0.0
Jordi Alba Ramos,Spain,FIFA World Cup 2022,2,2,0.0459,0,0.0229,0.0,0.0
Carlos Augusto Zambrano Ochandarte,Peru,Copa America 2024,1,2,0.0459,0,0.0459,0.0,0.0
Riyad Mahrez,Algeria,AFCON 2023,1,1,0.0454,0,0.0454,0.0,0.0
Sofiane Feghouli,Algeria,AFCON 2023,1,1,0.0446,0,0.0446,0.0,0.0
François Kamano,Guinea,AFCON 2023,1,1,0.0445,0,0.0445,0.0,0.0
João Neves,Portugal,UEFA Euro 2024,1,1,0.0442,0,0.0442,0.0,0.0
Volodymyr Brazhko,Ukraine,UEFA Euro 2024,2,2,0.0438,0,0.0219,0.0,0.0
Przemysław Frankowski,Poland,FIFA World Cup 2022,1,1,0.0436,0,0.0436,0.0,0.0
Ali Gholizadeh,IR Iran,FIFA World Cup 2022,1,1,0.0428,0,0.0428,0.0,0.0
Derek Cornelius,Canada,Copa America 2024,1,1,0.0424,0,0.0424,0.0,0.0
Edward Chilufya,Zambia,AFCON 2023,1,1,0.0422,0,0.0422,0.0,0.0
Marcelo Amado Djaló Taritolay,Guinea-Bissau,AFCON 2023,1,1,0.042,0,0.042,0.0,0.0
Marwan Attia Fahim Ghallab,Egypt,AFCON 2023,2,2,0.0419,0,0.0209,0.0,0.0
Denis Lemi Zakaria Lako Lado,Switzerland,FIFA World Cup 2022,1,1,0.0419,0,0.0419,0.0,0.0
Abdulrahman Al-Obood,Saudi Arabia,FIFA World Cup 2022,1,1,0.0417,0,0.0417,0.0,0.0
Josimar Alcócer,Costa Rica,Copa America 2024,1,1,0.0413,1,0.0413,1.0,1.0
Josip Juranović,Croatia,FIFA World Cup 2022,1,1,0.0413,0,0.0413,0.0,0.0
Okay Yokuşlu,Türkiye,UEFA Euro 2024,1,1,0.0405,0,0.0405,0.0,0.0
Eberechi Eze,England,UEFA Euro 2024,2,2,0.0405,0,0.0202,0.0,0.0
Erick Javier Davis Grajales,Panama,Copa America 2024,1,1,0.0403,0,0.0403,0.0,0.0
Loide António Augusto,Angola,AFCON 2023,1,1,0.0398,0,0.0398,0.0,0.0
Ismael Bennacer,Algeria,AFCON 2023,1,1,0.0393,0,0.0393,0.0,0.0
Yacoub Aly Abeid,Mauritania,AFCON 2023,1,1,0.0393,0,0.0393,0.0,0.0
Aaron Mooy,Australia,FIFA World Cup 2022,1,1,0.0392,0,0.0392,0.0,0.0
Jon Gorenc Stankovič,Slovenia,UEFA Euro 2024,1,1,0.0391,0,0.0391,0.0,0.0
Žan Celar,Slovenia,UEFA Euro 2024,1,1,0.039,0,0.039,0.0,0.0
Mark Anthony Kaye,Canada,FIFA World Cup 2022,1,1,0.0389,0,0.0389,0.0,0.0
Idrissa Gueye,Senegal,AFCON 2023,1,1,0.0386,0,0.0386,0.0,0.0
Jean Thierry Lazare Amani,Côte d'Ivoire,AFCON 2023,1,1,0.0384,0,0.0384,0.0,0.0
Fermin Lopez Marin,Spain,UEFA Euro 2024,1,2,0.0381,0,0.0381,0.0,0.0
Lassana Coulibaly,Mali,AFCON 2023,1,1,0.0379,0,0.0379,0.0,0.0
Abdulelah Al Amri,Saudi Arabia,FIFA World Cup 2022,1,1,0.0378,0,0.0378,0.0,0.0
Jewison Bennette,Costa Rica,FIFA World Cup 2022,1,1,0.0378,0,0.0378,0.0,0.0
Issiaga Sylla,Guinea,AFCON 2023,1,1,0.0375,0,0.0375,0.0,0.0
Kevin Danso,Austria,UEFA Euro 2024,1,1,0.0374,0,0.0374,0.0,0.0
Manuel Luís da Silva Cafumana,Angola,AFCON 2023,2,2,0.0372,0,0.0186,0.0,0.0
Pedro Miguel Correia,Qatar,FIFA World Cup 2022,2,2,0.0371,0,0.0185,0.0,0.0
Montassar Omar Talbi,Tunisia,FIFA World Cup 2022; AFCON 2023,2,2,0.037,0,0.0185,0.0,0.0
Jovani Francisco Welch Lopez,Panama,Copa America 2024,2,3,0.037,0,0.0185,0.0,0.0
Telasco José Segovia Pérez,Venezuela,Copa America 2024,1,1,0.0364,0,0.0364,0.0,0.0
Adam Ounas,Algeria,AFCON 2023,1,2,0.0364,0,0.0364,0.0,0.0
Jaka Bijol,Slovenia,UEFA Euro 2024,1,1,0.036,0,0.036,0.0,0.0
Keanu Baccus,Australia,FIFA World Cup 2022,1,1,0.0355,0,0.0355,0.0,0.0
James Gomez,Gambia,AFCON 2023,1,1,0.0355,0,0.0355,0.0,0.0
Majeed Ashimeru,Ghana,AFCON 2023,1,1,0.035,0,0.035,0.0,0.0
Amine Harit,Morocco,AFCON 2023,1,1,0.035,0,0.035,0.0,0.0
Aliou Dieng,Mali,AFCON 2023,1,2,0.0345,0,0.0345,0.0,0.0
Taulant Sulejmanov,Albania,UEFA Euro 2024,1,1,0.0342,0,0.0342,0.0,0.0
Nicolas Seiwald,Austria,UEFA Euro 2024,1,1,0.0339,0,0.0339,0.0,0.0
Jean Michaël Seri,Côte d'Ivoire,AFCON 2023,2,2,0.0335,0,0.0168,0.0,0.0
Saúl Basilio Coco-Bassey Oubiña,Equatorial Guinea,AFCON 2023,2,3,0.0334,0,0.0167,0.0,0.0
Wajdi Kechrida,Tunisia,AFCON 2023,1,1,0.0333,0,0.0333,0.0,0.0
Ajdin Hrustic,Australia,FIFA World Cup 2022,1,1,0.0332,0,0.0332,0.0,0.0
Veljko Birmančević,Serbia,UEFA Euro 2024,1,1,0.0332,0,0.0332,0.0,0.0
Mijat Gaćinović,Serbia,UEFA Euro 2024,1,1,0.0329,0,0.0329,0.0,0.0
Roozbeh Cheshmi,IR Iran,FIFA World Cup 2022,1,1,0.0327,1,0.0327,1.0,1.0
Miguel Ángel Almirón Rejala,Paraguay,Copa America 2024,1,1,0.0327,0,0.0327,0.0,0.0
Federico Bikoro Akieme Nchama,Equatorial Guinea,AFCON 2023,1,1,0.0323,0,0.0323,0.0,0.0
Noah Okafor,Switzerland,FIFA World Cup 2022,1,1,0.0321,0,0.0321,0.0,0.0
Medon Berisha,Albania,UEFA Euro 2024,1,1,0.0318,0,0.0318,0.0,0.0
João Victor Gomes da Silva,Brazil,Copa America 2024,1,1,0.0313,0,0.0313,0.0,0.0
Mario Mitaj,Albania,UEFA Euro 2024,1,1,0.0307,0,0.0307,0.0,0.0
Pathé Ismaël Ciss,Senegal,FIFA World Cup 2022,1,1,0.0306,0,0.0306,0.0,0.0
Jefferson Anilson Silva Encada,Guinea-Bissau,AFCON 2023,2,2,0.0306,0,0.0153,0.0,0.0
Pascal Groß,Germany,UEFA Euro 2024,1,1,0.0305,0,0.0305,0.0,0.0
Jesús Abdallah Castillo Molina,Peru,Copa America 2024,1,1,0.0305,0,0.0305,0.0,0.0
Woo-Yeong Jeong,Korea Republic,FIFA World Cup 2022,1,1,0.0301,0,0.0301,0.0,0.0
Andrija Živković,Serbia,FIFA World Cup 2022,1,1,0.03,0,0.03,0.0,0.0
Darlin Zidane Yongwa Ngameni,Cameroon,AFCON 2023,1,1,0.0294,0,0.0294,0.0,0.0
Amadou Dante,Mali,AFCON 2023,1,1,0.0292,0,0.0292,0.0,0.0
Edimilson Fernandes,Switzerland,FIFA World Cup 2022,1,1,0.0292,0,0.0292,0.0,0.0
Akram Hassan Afif,Qatar,FIFA World Cup 2022,2,2,0.0291,0,0.0146,0.0,0.0
Ádám Nagy,Hungary,UEFA Euro 2024,1,1,0.0289,0,0.0289,0.0,0.0
Ali Abdi,Tunisia,AFCON 2023,1,1,0.0289,0,0.0289,0.0,0.0
Ľubomír Tupta,Slovakia,UEFA Euro 2024,1,1,0.0286,0,0.0286,0.0,0.0
Jefferson Brenes Rojas,Costa Rica,Copa America 2024,1,1,0.0282,0,0.0282,0.0,0.0
Marko Grujić,Serbia,FIFA World Cup 2022,1,1,0.0274,0,0.0274,0.0,0.0
César Ignacio Pérez Maldonado,Chile,Copa America 2024,1,1,0.0272,0,0.0272,0.0,0.0
Chris Führich,Germany,UEFA Euro 2024,1,1,0.027,0,0.027,0.0,0.0
Omaré Gassama,Mauritania,AFCON 2023,2,2,0.0268,0,0.0134,0.0,0.0
Michał Skóraś,Poland,FIFA World Cup 2022,1,1,0.0267,0,0.0267,0.0,0.0
Luis Fernando Haquín Lopez,Bolivia,Copa America 2024,1,1,0.0267,0,0.0267,0.0,0.0
Salis Abdul Samed,Ghana,FIFA World Cup 2022,1,1,0.0267,0,0.0267,0.0,0.0
Roberto Carlos Fernández Toro,Bolivia,Copa America 2024,1,1,0.0267,0,0.0267,0.0,0.0
Ramiro Vaca Ponce,Bolivia,Copa America 2024,1,1,0.0265,0,0.0265,0.0,0.0
Filip Mladenović,Serbia,FIFA World Cup 2022,1,1,0.0263,0,0.0263,0.0,0.0
Salih Özcan,Türkiye,UEFA Euro 2024,1,1,0.0259,0,0.0259,0.0,0.0
Jon Mikel Aramburu Mejías,Venezuela,Copa America 2024,1,1,0.0258,0,0.0258,0.0,0.0
Federico Dimarco,Italy,UEFA Euro 2024,1,2,0.0256,0,0.0256,0.0,0.0
Michael Hector,Jamaica,Copa America 2024,1,1,0.0254,0,0.0254,0.0,0.0
Aaron Ramsey,Wales,FIFA World Cup 2022,1,1,0.0254,0,0.0254,0.0,0.0
Axel Witsel,Belgium,FIFA World Cup 2022,1,1,0.0253,0,0.0253,0.0,0.0
Abdoul Razack Guiebre,Burkina Faso,AFCON 2023,1,2,0.0253,0,0.0253,0.0,0.0
José Adoni Cifuentes Charcopa,Ecuador,FIFA World Cup 2022,1,1,0.0253,0,0.0253,0.0,0.0
Rubin Colwill,Wales,FIFA World Cup 2022,1,1,0.0251,0,0.0251,0.0,0.0
Marcos Llorente Moreno,Spain,FIFA World Cup 2022,1,1,0.0246,0,0.0246,0.0,0.0
Abdulaziz Hatem Mohammed Abdullah,Qatar,FIFA World Cup 2022,1,1,0.0245,0,0.0245,0.0,0.0
David Raum,Germany,UEFA Euro 2024,1,1,0.0244,0,0.0244,0.0,0.0
Matías David Espinoza Acosta,Paraguay,Copa America 2024,1,1,0.0244,0,0.0244,0.0,0.0
Basilio Ndong Owono Nchamaaa,Equatorial Guinea,AFCON 2023,1,1,0.0241,0,0.0241,0.0,0.0
Matty Cash,Poland,FIFA World Cup 2022,1,1,0.0235,0,0.0235,0.0,0.0
Darío Esteban Osorio Osorio,Chile,Copa America 2024,1,1,0.0233,0,0.0233,0.0,0.0
Petar Stojanović,Slovenia,UEFA Euro 2024,1,1,0.0232,0,0.0232,0.0,0.0
Alejandro Darío Gómez,Argentina,FIFA World Cup 2022,2,2,0.0231,0,0.0115,0.0,0.0
Seung-Ho Paik,Korea Republic,FIFA World Cup 2022,1,1,0.0231,1,0.0231,1.0,1.0
Philip Foden,England,FIFA World Cup 2022,1,1,0.0227,0,0.0227,0.0,0.0
Juan Fernando Quintero Paniagua,Colombia,Copa America 2024,1,1,0.0224,0,0.0224,0.0,0.0
Santiago Arias Naranjo,Colombia,Copa America 2024,1,1,0.022,0,0.022,0.0,0.0
Stanislav Lobotka,Slovakia,UEFA Euro 2024,1,1,0.0219,0,0.0219,0.0,0.0
José Ángel Córdoba Chambers,Panama,Copa America 2024,1,1,0.0219,0,0.0219,0.0,0.0
Alex Sandro Lobo Silva,Brazil,FIFA World Cup 2022,1,1,0.0218,0,0.0218,0.0,0.0
Grzegorz Krychowiak,Poland,FIFA World Cup 2022,1,1,0.0217,0,0.0217,0.0,0.0
André Martín Carrillo Díaz,Peru,Copa America 2024,1,1,0.0216,0,0.0216,0.0,0.0
Jonathan Tah,Germany,UEFA Euro 2024,1,1,0.0215,0,0.0215,0.0,0.0
Jae-Sung Lee,Korea Republic,FIFA World Cup 2022,1,1,0.0214,0,0.0214,0.0,0.0
Ousmane Diomande,Côte d'Ivoire,AFCON 2023,1,1,0.0212,0,0.0212,0.0,0.0
Riaan Hanamub,Namibia,AFCON 2023,1,2,0.0208,0,0.0208,0.0,0.0
Marcos Johan López Lanfranco,Peru,Copa America 2024,1,1,0.0208,0,0.0208,0.0,0.0
Sofyan Amrabat,Morocco,FIFA World Cup 2022,1,1,0.0207,0,0.0207,0.0,0.0
Ebrima Darboe,Gambia,AFCON 2023,1,1,0.0207,0,0.0207,0.0,0.0
Vincent Sierro,Switzerland,UEFA Euro 2024,1,1,0.0205,0,0.0205,0.0,0.0
Matías Nicolás Rojas Romero,Paraguay,Copa America 2024,1,1,0.0203,0,0.0203,0.0,0.0
Álvaro José Zamora Mata,Costa Rica,Copa America 2024,1,1,0.0202,0,0.0202,0.0,0.0
Ferjani Sassi,Tunisia,FIFA World Cup 2022,1,1,0.0202,0,0.0202,0.0,0.0
Tyler Adams,United States,FIFA World Cup 2022,1,1,0.0198,0,0.0198,0.0,0.0
Infren David da Conceição Matola,Mozambique,AFCON 2023,1,1,0.0196,0,0.0196,0.0,0.0
Tomáš Holeš,Czechia,UEFA Euro 2024,1,1,0.0193,0,0.0193,0.0,0.0
Núrio Domingos Matias Fortuna,Angola,AFCON 2023,1,1,0.0192,0,0.0192,0.0,0.0
Joseph Scally,United States,Copa America 2024,1,1,0.0188,0,0.0188,0.0,0.0
Benjamin Henrichs,Germany,UEFA Euro 2024,1,1,0.0186,0,0.0186,0.0,0.0
Nicolò Fagioli,Italy,UEFA Euro 2024,1,1,0.0185,0,0.0185,0.0,0.0
Darko Lazović,Serbia,FIFA World Cup 2022,1,1,0.0183,0,0.0183,0.0,0.0
Martin Baturina,Croatia,UEFA Euro 2024,1,1,0.0182,0,0.0182,0.0,0.0
Youssouf Sabaly,Senegal,FIFA World Cup 2022,1,2,0.0179,0,0.0179,0.0,0.0
Damion Lowe,Jamaica,Copa America 2024,1,1,0.0176,0,0.0176,0.0,0.0
Mikkel Damsgaard,Denmark,UEFA Euro 2024,1,1,0.0175,0,0.0175,0.0,0.0
Ariel Lassiter,Costa Rica,Copa America 2024,1,1,0.017,0,0.017,0.0,0.0
Alejandro Jesús Bran Flores,Costa Rica,Copa America 2024,1,1,0.0165,0,0.0165,0.0,0.0
Hassan Khalid Al Heidos,Qatar,FIFA World Cup 2022,1,1,0.0157,0,0.0157,0.0,0.0
Marc Cucurella Saseta,Spain,UEFA Euro 2024,1,1,0.0156,0,0.0156,0.0,0.0
Alidu Seidu,Ghana,FIFA World Cup 2022,1,1,0.0154,0,0.0154,0.0,0.0
Borna Barišić,Croatia,FIFA World Cup 2022,1,1,0.0152,0,0.0152,0.0,0.0
Boubacar Traore,Mali,AFCON 2023,1,1,0.0146,0,0.0146,0.0,0.0
Erick Daniel Sánchez Ocegueda,Mexico,Copa America 2024,1,1,0.0142,0,0.0142,0.0,0.0
Matúš Bero,Slovakia,UEFA Euro 2024,1,1,0.0142,0,0.0142,0.0,0.0
Arthur Theate,Belgium,UEFA Euro 2024,2,2,0.0139,0,0.0069,0.0,0.0
Ethan Ampadu,Wales,FIFA World Cup 2022,1,1,0.0138,0,0.0138,0.0,0.0
Edson Omar Álvarez Velázquez,Mexico,FIFA World Cup 2022,1,1,0.0137,0,0.0137,0.0,0.0
Gerson Torres Barrantes,Costa Rica,FIFA World Cup 2022,1,1,0.0135,0,0.0135,0.0,0.0
Otar Kakabadze,Georgia,UEFA Euro 2024,1,1,0.013,0,0.013,0.0,0.0
Nyiko Mobbie,South Africa,AFCON 2023,2,2,0.0123,0,0.0061,0.0,0.0
Filip Kostić,Serbia,FIFA World Cup 2022,1,1,0.012,0,0.012,0.0,0.0
Carmelo Algarañaz Añez,Bolivia,Copa America 2024,1,2,0.0117,0,0.0117,0.0,0.0
Juan José Óscar Siafá Etoha,Equatorial Guinea,AFCON 2023,1,1,0.0117,0,0.0117,0.0,0.0
Kenneth McLean,Scotland,UEFA Euro 2024,1,1,0.0114,0,0.0114,0.0,0.0
Woo-Young Jung,Korea Republic,FIFA World Cup 2022,1,1,0.0109,0,0.0109,0.0,0.0
Ngoran Suiru Fai Collins,Cameroon,FIFA World Cup 2022,1,1,0.0095,0,0.0095,0.0,0.0
Eden Hazard,Belgium,FIFA World Cup 2022,1,1,0.0092,0,0.0092,0.0,0.0
Jacob Mendy,Gambia,AFCON 2023,1,1,0.0086,0,0.0086,0.0,0.0
Fabian Rieder,Switzerland,UEFA Euro 2024,1,1,0.0081,0,0.0081,0.0,0.0
Oleksandr Zinchenko,Ukraine,UEFA Euro 2024,1,1,0.0077,0,0.0077,0.0,0.0
Wilder José Cartagena Mendoza,Peru,Copa America 2024,1,1,0.0076,0,0.0076,0.0,0.0
Alexander Andre Marshsall,Jamaica,Copa America 2024,1,1,0.0075,0,0.0075,0.0,0.0
Miguel Changa Chaiwa,Zambia,AFCON 2023,1,1,0.0075,0,0.0075,0.0,0.0
Piero Martín Hincapié Reyna,Ecuador,Copa America 2024,1,1,0.0074,0,0.0074,0.0,0.0
Cédric Badolo,Burkina Faso,AFCON 2023,1,1,0.0074,0,0.0074,0.0,0.0
Fernando Javier Saucedo Pereyra,Bolivia,Copa America 2024,1,1,0.0074,0,0.0074,0.0,0.0
Faisal Salum Abdalla,Tanzania,AFCON 2023,1,1,0.0073,0,0.0073,0.0,0.0
Cletous Chama,Zambia,AFCON 2023,1,1,0.007,0,0.007,0.0,0.0
Khadim Diaw,Mauritania,AFCON 2023,1,1,0.0068,0,0.0068,0.0,0.0
Mohamed Hussein Mohamed,Tanzania,AFCON 2023,1,1,0.0065,0,0.0065,0.0,0.0
Aboubacar Traoré,Mali,AFCON 2023,1,1,0.0065,0,0.0065,0.0,0.0
Lubambo Musonda,Zambia,AFCON 2023,1,1,0.006,0,0.006,0.0,0.0
Saud Abdullah Abdul Hamid,Saudi Arabia,FIFA World Cup 2022,1,1,0.0059,0,0.0059,0.0,0.0
Edson André Sitoe,Mozambique,AFCON 2023,1,1,0.0058,0,0.0058,0.0,0.0
Sergio Fernando Peña Flores,Peru,Copa America 2024,1,1,0.0057,0,0.0057,0.0,0.0
Kyung-Won Kwon,Korea Republic,FIFA World Cup 2022,1,1,0.0055,0,0.0055,0.0,0.0
Novatus Dismas Miroshi,Tanzania,AFCON 2023,1,1,0.0054,0,0.0054,0.0,0.0
Bakari Camara,Mauritania,AFCON 2023,1,1,0.0054,0,0.0054,0.0,0.0
Bartosz Salamon,Poland,UEFA Euro 2024,1,1,0.0034,0,0.0034,0.0,0.0
